[rosmaster.main][INFO] 2022-05-01 19:24:21,882: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-05-01 19:24:21,882: Starting ROS Master Node
[xmlrpc][INFO] 2022-05-01 19:24:21,883: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-05-01 19:24:21,883: Started XML-RPC server [http://172.18.0.22:11311/]
[rosmaster.master][INFO] 2022-05-01 19:24:21,883: Master initialized: port[11311], uri[http://172.18.0.22:11311/]
[xmlrpc][INFO] 2022-05-01 19:24:21,883: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-05-01 19:24:21,929: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:21,931: +PARAM [/roslaunch/uris/host_172_18_0_22__39011] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,080: +SERVICE [/rosout/get_loggers] /rosout http://172.18.0.22:46809/
[rosmaster.master][INFO] 2022-05-01 19:24:22,080: +SERVICE [/rosout/set_logger_level] /rosout http://172.18.0.22:46809/
[rosmaster.master][INFO] 2022-05-01 19:24:22,110: +PARAM [/ariac/gantry/gantry_arm_controller/gains/gantry_arm_elbow_joint/p] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,110: +PARAM [/ariac/gantry/move_group/planner_configs/STRIDE/max_degree] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,110: +PARAM [/ariac/kitting/kitting_arm_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,111: +PUB [/rosout_agg] /rosout http://172.18.0.22:46809/
[rosmaster.master][INFO] 2022-05-01 19:24:22,111: +PARAM [/ariac/kitting/kitting_arm_controller/constraints/wrist_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,111: +PARAM [/ariac/kitting/move_group/planner_configs/SPARStwo/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,112: +PARAM [/ariac/gantry/move_group/planner_configs/KPIECE/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,112: +PARAM [/ariac/gantry/gantry_controller/constraints/goal_time] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,112: +PARAM [/ariac/kitting/kitting_arm_controller/constraints/elbow_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +SUB [/rosout] /rosout http://172.18.0.22:46809/
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/move_group/planner_configs/FMT/nearest_k] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/robot_description_planning/joint_limits/wrist_1_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/gantry_arm_controller/gains/gantry_arm_elbow_joint/d] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/gantry_arm_controller/gains/gantry_arm_elbow_joint/i] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/static_wrist_1_controller/pid/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/robot_description_planning/joint_limits/gantry_arm_wrist_1_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/move_group/planner_configs/BKPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/gantry_arm_controller/gains/gantry_arm_shoulder_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/robot_description_planning/joint_limits/wrist_2_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/robot_description_planning/joint_limits/shoulder_pan_joint/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/static_shoulder_lift_joint_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/kitting/move_group/planner_configs/BFMT/balanced] by /roslaunch
[rosmaster.master][INFO] 2022-05-01 19:24:22,113: +PARAM [/ariac/gantry/gantry_arm_controller/constraints/gantry_arm_wrist_2_joint/trajectory] by /roslaunch
